ID;Setor;delta_emp;emp_coeff
40;Geração centralizada de energia elétrica;2237.36;0.442295
64;Outras atividades administrativas e serviços complementares;978.72;15.966609
20;Biodiesel;449.03;0.252014
62;Outras atividades profissionais, científicas e técnicas;357.14;5.848206
61;Serviços de arquitetura, engenharia, testes/análises técnicas e P & D;316.29;10.026109
31;Fabricação de produtos de metal, exceto máquinas e equipamentos;293.78;6.566520
42;Transmissão;270.36;0.744163
28;Fabricação de produtos de minerais não-metálicos;248.57;6.717826
33;Fabricação de máquinas e equipamentos elétricos;217.31;2.480856
72;Organizações associativas e outros serviços pessoais;208.61;26.191451
