ID;Setor;delta_x;delta_va
20;Biodiesel;72212.84;7317.50
5;Extração de petróleo e gás, inclusive as atividades de apoio;1650.35;736.00
47;Comércio por atacado e a varejo, exceto veículos automotores;265.61;162.41
60;Atividades jurídicas, contábeis, consultoria e sedes de empresas ;168.98;115.96
21;Coquerias;154.60;5.39
63;Aluguéis não-imobiliários e gestão de ativos de propriedade intelectual;47.72;29.68
40;Geração centralizada de energia elétrica;46.32;15.45
49;Transporte aquaviário;44.72;19.55
29;Produção de ferro-gusa/ferroligas, siderurgia e tubos de aço sem costura;34.12;7.77
34;Fabricação de máquinas e equipamentos mecânicos;28.53;8.28
