ID;Setor;delta_x;delta_VA
20;Biodiesel;88817.27;9000.07
22;Fabricação de biocombustíveis;49789.32;10501.53
1;Agricultura, inclusive o apoio à agricultura e a pós-colheita;20721.79;10907.14
23;Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros;3316.49;493.23
10;Outros produtos alimentares;2658.33;540.17
48;Transporte terrestre;2082.03;862.52
40;Geração centralizada de energia elétrica;1982.23;661.24
24;Fabricação de defensivos, desinfestantes, tintas e químicos diversos;1561.29;269.66
58;Intermediação financeira, seguros e previdência complementar;1222.64;796.23
47;Comércio por atacado e a varejo, exceto veículos automotores;834.58;510.30
